Metric,Model,N,Mean ± SD,"Median [Q1, Q3]"
PSNR,Proposed,1110,31.713 ± 0.742,"31.701 [31.220, 32.216]"
PSNR,ELAN,1110,27.679 ± 0.584,"27.666 [27.295, 28.053]"
PSNR,EDSR,1110,30.447 ± 0.666,"30.448 [30.003, 30.897]"
PSNR,SwinIR,1110,28.342 ± 0.637,"28.321 [27.938, 28.764]"
PSNR,DAT,1110,31.186 ± 0.701,"31.174 [30.721, 31.653]"
PSNR,GRL,1110,31.268 ± 0.736,"31.273 [30.777, 31.761]"
PSNR,ESRGAN,1110,29.313 ± 0.694,"29.323 [28.881, 29.763]"
SSIM,Proposed,1110,0.92397 ± 0.01067,"0.92460 [0.91819, 0.93102]"
SSIM,ELAN,1110,0.87767 ± 0.01125,"0.87819 [0.87108, 0.88545]"
SSIM,EDSR,1110,0.91051 ± 0.01127,"0.91098 [0.90395, 0.91841]"
SSIM,SwinIR,1110,0.89072 ± 0.01165,"0.89099 [0.88398, 0.89901]"
SSIM,DAT,1110,0.91669 ± 0.01100,"0.91727 [0.91047, 0.92415]"
SSIM,GRL,1110,0.91887 ± 0.01097,"0.91935 [0.91270, 0.92620]"
SSIM,ESRGAN,1110,0.87608 ± 0.01319,"0.87603 [0.86861, 0.88482]"
LPIPS,Proposed,1110,0.06285 ± 0.01325,"0.06109 [0.05451, 0.06838]"
LPIPS,ELAN,1110,0.10116 ± 0.01184,"0.10004 [0.09292, 0.10828]"
LPIPS,EDSR,1110,0.07385 ± 0.01280,"0.07257 [0.06573, 0.07938]"
LPIPS,SwinIR,1110,0.09488 ± 0.01321,"0.09282 [0.08646, 0.10089]"
LPIPS,DAT,1110,0.07185 ± 0.01318,"0.07032 [0.06341, 0.07759]"
LPIPS,GRL,1110,0.07021 ± 0.01313,"0.06862 [0.06177, 0.07596]"
LPIPS,ESRGAN,1110,0.04196 ± 0.00671,"0.04138 [0.03794, 0.04570]"
DISTS,Proposed,1110,0.09598 ± 0.00992,"0.09496 [0.08983, 0.10099]"
DISTS,ELAN,1110,0.14759 ± 0.01483,"0.14611 [0.13883, 0.15490]"
DISTS,EDSR,1110,0.11151 ± 0.01990,"0.10688 [0.10125, 0.11383]"
DISTS,SwinIR,1110,0.14627 ± 0.01829,"0.14388 [0.13619, 0.15194]"
DISTS,DAT,1110,0.10450 ± 0.01402,"0.10263 [0.09667, 0.10862]"
DISTS,GRL,1110,0.10042 ± 0.01166,"0.09935 [0.09337, 0.10539]"
DISTS,ESRGAN,1110,0.06823 ± 0.00941,"0.06698 [0.06255, 0.07237]"
