epoch,loss_g,loss_d,content,adv,psnr,ssim
1,0.036505,0.000000,0.036505,0.000000,27.613241,0.882211
2,0.027743,0.241676,0.027628,0.144012,29.931445,0.908959
3,0.026538,0.167164,0.026340,0.246948,30.456061,0.912677
4,0.025877,0.229631,0.025694,0.227668,30.703878,0.914540
5,0.025542,0.127698,0.025300,0.302845,30.862565,0.915733
6,0.025308,0.101480,0.025035,0.341613,30.969880,0.916505
7,0.025089,0.085693,0.024796,0.365855,31.059557,0.917172
8,0.024898,0.072626,0.024589,0.386369,31.137846,0.917756
9,0.024767,0.062460,0.024444,0.403807,31.194418,0.918157
10,0.024648,0.052498,0.024313,0.418425,31.247053,0.918525
11,0.024546,0.046450,0.024203,0.428721,31.292794,0.918834
12,0.024457,0.040728,0.024107,0.437708,31.331786,0.919093
13,0.024392,0.039120,0.024039,0.440671,31.359769,0.919275
14,0.024305,0.036853,0.023949,0.444779,31.399352,0.919532
15,0.024247,0.032842,0.023887,0.449885,31.426098,0.919695
16,0.024106,0.211333,0.023801,0.381343,31.450889,0.919970
17,0.024172,0.080329,0.023870,0.376678,31.458111,0.919633
18,0.024154,0.065984,0.023835,0.398495,31.487151,0.919688
19,0.024097,0.049024,0.023759,0.423018,31.516962,0.919939
20,0.023998,0.035117,0.023642,0.444272,31.543577,0.920372
21,0.023913,0.030738,0.023551,0.451360,31.569942,0.920677
22,0.023872,0.027773,0.023506,0.457279,31.583918,0.920825
23,0.023818,0.027134,0.023451,0.459404,31.603472,0.920999
24,0.023767,0.030138,0.023398,0.462097,31.622793,0.921154
25,0.023734,0.021153,0.023361,0.466552,31.636394,0.921268
26,0.023698,0.025980,0.023325,0.465657,31.651495,0.921383
27,0.023649,0.024081,0.023278,0.463967,31.671780,0.921522
28,0.023570,0.171398,0.023256,0.391571,31.673776,0.921560
29,0.023536,0.057764,0.023215,0.401665,31.692537,0.921708
30,0.023536,0.042066,0.023193,0.428591,31.707747,0.921769
